CF_ID;bullinger_ID;Name;gnd_id;cc_id;class;ogl_id;pta_id;
CF001;P18881;Ignatius von Antiochien;118555340;;syrian;tlg1443;;
CF002;P19930;Polycarpus Smyrnäus;11859558X;;greek;tlg1622;;
CF003;P19894;Athenagoras Atheniensis;118646141;;greek;tlg1205;;
CF004;P21365;Theophilus Antiochenus;118756923;;greek;tlg1725;;
CF005;P18056;Irenäus von Lyon;118555766;;greek;tlg1447;;
CF006;P17746;Quintus Septimius Florens Tertullian;118621386;867;latin;stoa0275;;
CF007;P18512;Hippolyt von Rom;118551418;;greek;tlg2115;pta0037;
CF008;;Sidonius Apollinaris;118797069;1114;latin;;;
CF009;P17753;Origenes;118590235;1049;greek;tlg2042;pta0007;
CF010;P18988;Cyprian;1026798183;878;latin;stoa0104a;;
CF011;P17899;Eusebius von Caesarea;118531425;919;greek;tlg2018;pta0003;
CF012;P18048;Hilarius von Poitiers;118550896;927;latin;stoa0149p;;
CF013;P18895;Athanasius von Alexandrien;118504843;938;greek;tlg2035;pta0022;
CF014;P18887;Basilius der Grosse (Caesariensis);118637797;1472;greek;tlg2040;;
CF015;P17965;Gregor von Nazianz;118541900;;greek;tlg2022;;
CF016;P18993;Ambrosius von Mailand;11850245X;958;latin;stoa0022;;
CF017;P18454;Didymus der Blinde (Alexandria);118678213;20352;greek;tlg0357;;
CF018;P17892;Epiphanius von Salamis;118682229;;greek;tlg2021;;
CF019;P4541;Johannes Chrysostomus;118557831;999;greek;;pta0039;
CF020;P18986;Sophronius Eusebius Hieronymus;118550853;879;latin;stoa0162;;
CF021;P18700;Augustinus von Hippo;118505114;900;latin;stoa0040;;
CF022;P17867;Cyrill von Alexandrien;118523139;20440;greek;tlg4090;pta0005;
CF023;P18346;Theodoret von Kyrrhos;118756796;1266;greek;tlg4089;pta0004;
CF024;P18989;Anicius Manlius Severinus Boethius;11851282X;1139;latin;stoa0058;;
CF025;P18489;Papst Gregor I. (der Große);118541838;1165;latin;;;
CF026;P18057;Isidor von Sevilla;118555995;1318;latin;;;
CF027;P19019;Papias von Hierapolis;102401527;;greek;;;
CF028;P18974;Arnobius d.Ä.;118650335;888;latin;stoa0034;;
CF029;P18058;Iulius Firmicus Maternus;118683659;936;latin;stoa0123a;
CF030;P19001;Lucius Caecilius Firmianus Lactantius (Laktanz);118725831;902;latin;stoa0171;
CF031;P16781;Gaius Marius Victorinus;118577964;922;latin;stoa0292a;;
CF032;P21122;Macrobius Ambrosius Theodosius;118640763;14132;latin;stoa0278a;;
CF033;P17828;Benedikt von Nursia;118508911;1163;latin;;;
CF034;P17752;Clemens von Alexandrien;118563122;;greek;tlg0555;;
CF035;P21116;Dionysius von Alexandria (Bischof);118525905;894;greek;;;
CF036;P4867;Claudius Gordianus Fulgentius;118536834;1153;latin;;;
CF037;P17933;Gennadius von Marseille;100942261;998;latin;;;
CF038;P19886;Novatian;118786474;881;latin;;;
CF039;P19409;Quodvultdeus Carthaginiensis;118968289;1050;latin;;;
CF040;P18889;Rufinus von Aquileia;118750313;1000;latin;stoa0244d;;
CF041;P19014;Salamanes Hermeias Sozomenos;118798162;20464;greek;;pta0029;
CF042;P18343;Sulpicius Severus;118757806;993;latin;stoa0270;;
CF043;P20001;Tatian;11864310X;;greek;tlg1766;;
CF044;;Clemens von Rom;118809199;;greek;tlg1271;;
CF045;;Barnabas (Epistula Barnabae);118652559;22.006;greek;tlg1216;;
CF046;;Hermas (Pastor Hermae);118774131;;greek;tlg1419;pta0038;
CF047;;Gregor von Nyssa;118541919;20422;greek;;;
CF048;;Methodius von Olympus;Methodius von Olympus;;greek;tlg2959;;
CF049;;Maximus Confessor;118732188;1308;greek;;;
CF050;;Johannes von Damaskus;118557971;20443;greek;;;
CF051;;Leo I. (der Große);118571710;1098;latin;;;
CF052;;Prosper von Aquitanien;118793519;1016;latin;;;
CF053;;Ephrem der Syrer;118530550;20426;syrian;;;

