church_father,work,language,source,_editor
Ignatius von Antiochien,Epistulae vii genuinae,grc; lat,tlg1443.tlg001.1st1K-grc1.xml,Kirsopp Lake
Ignatius von Antiochien,Epistulae interpolatae et epistulae suppositiciae (recensio longior) [Sp.],grc; lat,tlg1443.tlg002.1st1K-grc1.xml,Francis Xavier Funk; Francis Diekamp
Polycarpus Smyrnäus,Epistula ad Philippenses,grc; lat,tlg1622.tlg001.1st1K-grc1.xml,Kirsopp Lake
Athenagoras Atheniensis,Legatio sive Supplicatio pro Christianis,grc; lat,tlg1205.tlg001.perseus-grc1.xml,Johann Karl Theodor von Otto
Athenagoras Atheniensis,Supplication pro Christianis,grc; lat,tlg1205.tlg001.perseus-grc2.xml,Francis Andrew March; William Baxter Owen
Athenagoras Atheniensis,De Resurrectione,grc; lat,tlg1205.tlg002.perseus-grc1.xml,Johann Karl Theodor von Otto
Theophilus Antiochenus,Ad Autolycum,grc; lat,tlg1725.tlg001.perseus-grc1.xml,William Gilson Humphry
Irenäus von Lyon,Libros quinque adversus haereses,grc; lat,tlg1447.tlg001.1st1K-grc1.xml,William Wigan Harvey
Irenäus von Lyon,Fragmenta Synodicae Epistulae,grc; lat,tlg1447.tlg009.1st1K-grc1.xml,Martin Joseph Routh
Quintus Septimius Florens Tertullian,Responsa ex libris Digestorum,lat,001_Auctor-incertus_Responsa-ex-libris-Digestorum.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,Ad uxorem,lat,001_Tertullianus_Ad-uxorem.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,Apologeticus adversus gentes,lat,001_Tertullianus_Apologeticus-adversus-gentes.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,De idololatria,lat,001_Tertullianus_De-idololatria.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,De poenitentia,lat,001_Tertullianus_De-poenitentia.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,Adversus Marcionem,lat,002_Tertullianus_Adversus-Marcionem.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,De jejuniis,lat,002_Tertullianus_De-jejuniis.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,De praescriptionibus adversus haereticos,lat,002_Tertullianus_De-praescriptionibus-adversus-haereticos.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,De resurrectione carnis,lat,002_Tertullianus_De-resurrectione-carnis.xml,Jacques-Paul Migne
Quintus Septimius Florens Tertullian,De Spectaculis,Latin; Greek,Tertullianus_De-Spectaculis.xml,T.R. Glover
Quintus Septimius Florens Tertullian,Ad Martyras,lat; grc,stoa0275.stoa001.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),lat,stoa0275.stoa002.opp-lat2.xml,
Quintus Septimius Florens Tertullian,Ad Scapulam,lat; grc,stoa0275.stoa003.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),lat,stoa0275.stoa004.opp-lat2.xml,
Quintus Septimius Florens Tertullian,Adversus Judaeos Liber,lat; grc,stoa0275.stoa005.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),lat,stoa0275.stoa007.opp-lat2.xml,
Quintus Septimius Florens Tertullian,Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),lat,stoa0275.stoa008.opp-lat2.xml,
Quintus Septimius Florens Tertullian,Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),lat,stoa0275.stoa010.opp-lat2.xml,
Quintus Septimius Florens Tertullian,Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),lat,stoa0275.stoa011.opp-lat2.xml,
Quintus Septimius Florens Tertullian,De Carne Christi,lat; grc,stoa0275.stoa012.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,De Corona,lat; grc,stoa0275.stoa013.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,De Cultu Feminarum,lat; grc,stoa0275.stoa014.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,De Exhortatione Castitatis Liber,lat; grc,stoa0275.stoa015.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,De Fuga in Persecutione,lat; grc,stoa0275.stoa016.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,De ieiunio adversus psychicos,lat; grc,stoa0275.stoa018.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),lat,stoa0275.stoa018.opp-lat2.xml,
Quintus Septimius Florens Tertullian,De Monogamia,lat; grc,stoa0275.stoa019.opp-lat1.xml,Franz Oehler
Quintus Septimius Florens Tertullian,Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),lat,stoa0275.stoa020.opp-lat2.xml,
